Version,Processes,Total_Time(s),Computation_Time(s),Communication_Time(s)
sequential,1,1.536347,NA,NA
sequential,1,1.166118,NA,NA
sequential,1,1.120225,NA,NA
sequential,1,1.214656,NA,NA
sequential,1,1.114592,NA,NA
mpi,2,0.257715,0.029760,0.227955
mpi,2,0.268518,0.030216,0.238302
mpi,2,0.257039,0.029752,0.227286
mpi,2,0.261590,0.029786,0.231804
mpi,2,0.258624,0.029710,0.228914
mpi,4,0.271327,0.015234,0.256092
mpi,4,0.266673,0.015866,0.250806
mpi,4,0.250805,0.015050,0.235756
mpi,4,0.270373,0.015224,0.255149
mpi,4,0.267408,0.015018,0.252390
mpi,8,0.330766,0.008226,0.322540
mpi,8,0.346424,0.017891,0.328533
mpi,8,0.339033,0.012967,0.326066
mpi,8,0.344282,0.013613,0.330669
mpi,8,0.323195,0.009788,0.313407
mpi,12,0.332181,0.009943,0.322238
mpi,12,0.348020,0.009614,0.338406
mpi,12,0.336913,0.013059,0.323853
mpi,12,0.332723,0.009933,0.322790
mpi,12,0.340505,0.012372,0.328133
