Version,Processes,Total_Time(s),Comp_Time(s),Comm_Time(s)
sequential,1,0.636194,,
sequential,1,0.597650,,
sequential,1,0.598004,,
sequential,1,0.597028,,
sequential,1,0.597179,,
mpi,2,0.591760,0.346192,0.245568
mpi,2,0.583742,0.343528,0.240214
mpi,2,0.587847,0.346709,0.241139
mpi,2,0.589711,0.328404,0.261307
mpi,2,0.586725,0.347928,0.238797
mpi,4,0.420581,0.177582,0.242999
mpi,4,0.416315,0.176356,0.239958
mpi,4,0.421048,0.178350,0.242698
mpi,4,0.418903,0.177380,0.241523
mpi,4,0.418094,0.178549,0.239545
mpi,8,0.445775,0.160516,0.285259
mpi,8,0.443374,0.159384,0.283990
mpi,8,0.403814,0.091483,0.312332
mpi,8,0.442388,0.092286,0.350102
mpi,8,0.410168,0.091730,0.318438
mpi,12,0.423403,0.108134,0.315269
mpi,12,0.421265,0.102988,0.318278
mpi,12,0.422803,0.107334,0.315470
mpi,12,0.422342,0.106331,0.316011
mpi,12,0.422162,0.102632,0.319530
